City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Saint Paul Harbor,US,57.79,-152.41,41.0,56,90,6.93
Mahébourg,MU,-20.41,57.7,75.99,65,70,5.01
Mar del Plata,AR,-38.0,-57.56,51.01,81,0,4.7
Gomel,BY,52.43,30.98,39.2,100,3,6.71
Hermanus,ZA,-34.42,19.23,60.01,79,100,1.01
Klaksvík,FO,62.23,-6.59,46.4,87,70,12.75
Chernyshevskiy,RU,63.01,112.47,6.46,91,100,11.39
Lata,PT,40.16,-8.33,55.0,96,0,2.19
Los Llanos de Aridane,ES,28.66,-17.92,71.6,60,90,8.05
Airai,TL,-8.93,125.41,78.48,50,36,4.5
Rikitea,PF,-23.12,-134.97,74.91,81,90,10.96
Roanoke Rapids,US,36.46,-77.65,68.0,93,75,5.39
Qaanaaq,GL,77.48,-69.36,7.32,73,3,10.0
Bluff,NZ,-46.6,168.33,63.0,68,60,5.01
Belmonte,BR,-15.86,-38.88,77.0,83,75,10.29
Ribeira Grande,PT,38.52,-28.7,68.61,89,78,23.11
Pevek,RU,69.7,170.31,19.56,95,100,16.26
Payakumbuh,ID,-0.22,100.63,85.84,52,100,0.72
Tuktoyaktuk,CA,69.45,-133.04,23.0,85,75,26.4
Anloga,GH,5.79,0.9,77.0,88,20,3.36
East London,ZA,-33.02,27.91,68.27,84,96,6.31
Constitución,CL,-35.33,-72.42,52.32,68,0,8.93
Puerto Ayora,EC,-0.74,-90.35,68.0,93,62,4.0
Kisangani,CD,0.52,25.2,67.59,98,100,1.92
Alofi,NU,-19.06,-169.92,77.0,65,40,19.46
Xining,CN,36.62,101.77,43.34,51,0,1.45
Severo-Kuril'sk,RU,50.68,156.12,44.74,77,97,6.76
Cape Town,ZA,-33.93,18.42,59.0,87,75,18.34
Barrow,US,71.29,-156.79,23.0,79,90,6.93
Bereda,ES,43.27,-7.54,48.99,100,61,2.39
Caucayá,CO,-0.19,-74.78,77.0,87,100,3.04
Dvinskoy Bereznik,RU,62.86,42.71,41.29,93,100,7.63
Mayo,US,38.89,-76.51,62.6,93,90,8.05
Yaan,NG,7.38,8.57,73.65,91,100,5.19
Bolnisi,GE,41.45,44.54,50.0,87,0,2.24
Nanortalik,GL,60.14,-45.24,32.67,92,100,11.21
Bloemfontein,ZA,-29.12,26.21,68.0,56,48,12.75
Lompoc,US,34.64,-120.46,59.0,41,1,5.97
Hilo,US,19.73,-155.09,82.4,69,40,6.93
Puerto Suárez,BO,-18.95,-57.8,74.82,91,98,4.61
Faanui,PF,-16.48,-151.75,79.83,80,33,14.12
Lively,CA,46.43,-81.15,37.0,80,90,5.82
Atuona,PF,-9.8,-139.03,77.92,72,4,13.85
Guaratinga,BR,-16.57,-39.57,77.0,83,75,10.29
Santa Isabel,BR,-23.32,-46.22,71.6,64,0,2.24
Peruíbe,BR,-24.32,-47.0,69.39,78,0,0.89
Cockburn Town,TC,21.46,-71.14,82.47,77,0,22.86
Ushuaia,AR,-54.8,-68.3,41.0,93,90,23.04
Lebu,CL,-37.62,-73.65,48.6,76,0,20.71
Ségou,ML,13.43,-6.22,73.54,20,0,4.38
Campbell River,CA,50.02,-125.24,50.0,100,90,3.36
Evensk,RU,61.95,159.23,27.28,78,0,5.06
Jamestown,US,42.1,-79.24,42.01,86,1,8.05
Butaritari,KI,3.07,172.79,81.48,73,64,2.89
La Ronge,CA,55.1,-105.28,28.4,86,100,3.36
Natitingou,BJ,10.3,1.38,71.28,48,12,0.85
Bambous Virieux,MU,-20.34,57.76,75.99,63,53,7.0
Jacareacanga,BR,-6.22,-57.75,77.92,79,86,1.21
Russell,US,32.35,-85.2,77.0,78,40,10.29
The Valley,AI,18.22,-63.06,77.0,88,75,16.11
Berlevåg,NO,70.86,29.09,36.55,88,96,12.06
Dikson,RU,73.51,80.55,2.98,89,0,20.02
Saint-Augustin,CA,51.23,-58.65,28.04,87,98,10.18
Provideniya,RU,64.38,-173.3,26.6,63,0,4.47
Busselton,AU,-33.65,115.33,75.99,32,0,8.32
Pangnirtung,CA,66.15,-65.71,8.73,81,52,4.41
Roald,NO,62.58,6.13,46.4,87,100,4.7
Shahr-e Bābak,IR,30.12,55.12,43.48,53,0,3.09
Maumere,ID,-8.62,122.21,85.3,68,9,0.81
Albany,US,42.6,-73.97,46.0,100,99,3.49
Constantine,DZ,36.37,6.61,44.6,93,0,2.24
Imeni Poliny Osipenko,RU,52.42,136.49,39.4,72,50,8.03
Vaini,TO,-21.2,-175.2,77.0,73,40,14.99
Thompson,CA,55.74,-97.86,3.2,77,20,4.47
Port Hawkesbury,CA,45.62,-61.35,35.01,84,75,6.11
Grand Gaube,MU,-20.01,57.66,75.99,63,39,7.0
Manicoré,BR,-5.81,-61.3,75.78,92,83,2.26
Khatanga,RU,71.97,102.5,-0.08,87,0,9.17
Lake Charles,US,30.21,-93.2,59.0,87,90,18.34
Mataura,NZ,-46.19,168.86,63.0,69,53,5.99
Tamiahua,MX,21.27,-97.45,71.67,82,100,8.81
Meulaboh,ID,4.14,96.13,84.29,62,100,1.81
Ichinohe,JP,40.21,141.3,55.4,66,75,21.92
Bredasdorp,ZA,-34.53,20.04,59.0,67,100,3.36
Fortuna,US,40.6,-124.16,53.6,76,1,5.82
Kosh-Agach,RU,50.0,88.67,24.04,82,83,2.35
Acajutla,SV,13.59,-89.83,72.0,100,99,4.38
George Town,MY,5.41,100.34,82.4,83,20,4.7
Hithadhoo,MV,-0.6,73.08,83.41,73,0,9.91
Karratha,AU,-20.74,116.85,84.94,48,1,11.83
Avarua,CK,-21.21,-159.78,73.4,83,36,5.82
Batemans Bay,AU,-35.72,150.18,64.99,80,15,1.99
Teruel,ES,40.67,-0.67,52.0,93,20,3.36
Kaputa,ZM,-8.47,29.66,73.13,64,100,3.53
Torbay,CA,47.67,-52.73,33.01,92,75,3.36
Morristown,US,36.21,-83.29,64.99,100,90,4.7
Salé,MA,34.04,-6.82,55.0,100,20,3.8
Hirara,JP,24.8,125.28,82.4,61,20,14.99
Anta,IN,25.15,76.3,74.05,28,0,3.02
Bengkulu,ID,-3.8,102.27,83.68,65,99,3.31
Cherskiy,RU,68.75,161.3,4.95,94,84,2.93
Artigas,UY,-30.4,-56.47,56.75,75,0,13.51
San Ignacio,BZ,17.16,-89.07,77.0,94,75,4.7
Whitehorse,CA,60.72,-135.05,26.6,79,75,6.93
Kavaratti,IN,10.57,72.64,81.99,73,56,5.14
Sinnamary,GF,5.38,-52.95,80.24,85,4,11.48
Tasiilaq,GL,65.61,-37.64,35.6,34,100,21.92
Baykit,RU,61.67,96.37,27.09,95,100,7.56
Hobart,AU,-42.88,147.33,64.99,51,20,12.75
Arraial do Cabo,BR,-22.97,-42.03,74.75,94,2,6.93
Mumford,GH,5.26,-0.76,77.0,90,12,6.49
Cobija,BO,-11.03,-68.77,78.22,71,100,2.28
Kumul,CN,42.8,93.45,51.15,39,97,5.21
Paita,PE,-5.09,-81.11,64.54,84,92,11.9
Palmer,US,42.16,-72.33,48.0,100,90,2.44
Kashin,RU,57.36,37.61,39.81,95,17,8.5
Havøysund,NO,71.0,24.66,35.6,93,98,12.75
Champaign,US,40.13,-88.2,48.2,81,90,3.36
Yellowknife,CA,62.46,-114.35,21.2,79,90,4.7
Deputatsky,RU,69.3,139.9,-0.22,91,93,1.25
Saint George,US,37.1,-113.58,64.4,16,1,16.11
Aasiaat,GL,68.71,-52.87,13.59,92,100,4.9
Madera,US,37.17,-119.83,61.0,27,0,4.9
Kapaa,US,22.08,-159.32,77.0,78,75,3.36
Chamalières,FR,45.78,3.06,57.2,62,75,12.75
